TinhTrangBDS,PhongNgu,PhongTam,Loai,GiayTo,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,CanGoc,Quan,Gia,Gia_m2,DienTich_m2
1, 2 phòng, 2 phòng,2,1,1,9,9,0,Quận Bình Tân,1.6,0.0254,63.0
1, 3 phòng, 2 phòng,2,1,3,9,9,1,Quận 7,5.3,0.05579,95.0
1, 2 phòng, 1 phòng,2,2,2,9,9,0,Huyện Hóc Môn,0.295,0.00738,40.0
1, 2 phòng, 2 phòng,2,0,0,9,5,0,Quận 8,2.4,0.03529,68.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Quận 8,2.6,0.03768,69.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Huyện Nhà Bè,2.78,0.04029,69.36
0, 2 phòng, 2 phòng,2,1,1,9,9,0,Huyện Nhà Bè,2.2,0.03548,62.5
1, 2 phòng, 2 phòng,2,1,0,8,5,0,Huyện Bình Chánh,2.43,0.03522,69.0
1, 3 phòng, 2 phòng,2,1,0,9,3,1,Quận Tân Phú,2.0,0.023530000000000002,85.0
1, 3 phòng, 2 phòng,2,1,2,3,4,0,Huyện Nhà Bè,3.5,0.04217,83.0
1, 3 phòng, 2 phòng,2,0,0,9,9,1,Thành phố Thủ Đức,2.95,0.032780000000000004,90.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,3.7,0.05068,73.0
0, 2 phòng, 2 phòng,2,1,0,9,9,0,Quận 8,1.8,0.02278,79.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,1.75,0.03431,51.0
1, 2 phòng, 2 phòng,2,1,0,8,5,0,Thành phố Thủ Đức,1.93,0.031129999999999998,62.0
1, 2 phòng, 2 phòng,2,1,0,3,4,0,Huyện Bình Chánh,2.61,0.0348,75.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,1.98,0.03194,62.0
0, 2 phòng, 2 phòng,2,0,0,9,9,0,Khác,2.0,0.03571,56.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,4.27,0.05693,75.8
1, 1 phòng, 1 phòng,1,1,3,2,1,0,Quận 7,1.97,0.0402,49.0
1, 1 phòng, 1 phòng,2,2,1,9,9,0,Quận 12,0.47,0.01175,40.0
1, 2 phòng, 2 phòng,2,2,0,9,9,0,Quận Tân Phú,4.4,0.04889,90.0
1, 3 phòng, 2 phòng,2,0,1,3,4,1,Quận Phú Nhuận,4.9,0.05765,85.0
1, 2 phòng, 2 phòng,2,2,3,8,9,0,Quận 6,2.95,0.03554,83.0
1, 2 phòng, 1 phòng,2,0,0,9,1,0,Quận 8,1.8,0.027690000000000003,65.0
1, 2 phòng, 2 phòng,2,2,0,9,9,0,Quận 7,2.0,0.03226,62.0
1, 2 phòng, 2 phòng,2,1,3,6,7,0,Quận Tân Phú,3.85,0.05274,73.6
1, 2 phòng, 2 phòng,2,1,2,8,5,0,Quận 10,6.5,0.07471,87.0
1, 1 phòng, 1 phòng,2,1,3,9,9,0,Quận Bình Thạnh,2.98,0.06082,49.0
1, 2 phòng, 2 phòng,2,1,0,9,9,0,Quận 8,2.08,0.026670000000000003,78.0
1, 2 phòng, 2 phòng,2,2,0,8,9,0,Quận Bình Thạnh,3.1,0.06889,45.0
0, 3 phòng, 3 phòng,2,0,0,9,9,0,Quận Bình Thạnh,3.75,0.0431,87.0
1, 1 phòng, 1 phòng,2,0,0,9,9,0,Quận Bình Thạnh,1.5,0.03947,38.0
1, 2 phòng, 2 phòng,2,1,2,9,9,0,Quận Phú Nhuận,4.6,0.05823,79.25
0, 2 phòng, 2 phòng,2,1,0,9,9,0,Quận Bình Tân,2.5,0.03333,75.0
1, 2 phòng, 2 phòng,2,1,2,9,9,0,Quận 7,1.62,0.02382,68.0
0, 1 phòng, 1 phòng,2,1,1,9,9,0,Huyện Nhà Bè,0.5,0.01,50.0
1, 2 phòng, 2 phòng,2,2,0,9,5,0,Quận Tân Bình,3.65,0.04398,83.0
1, 1 phòng, 1 phòng,2,0,0,9,9,1,Quận Bình Tân,0.6,0.01765,34.0
1,, 2 phòng,2,0,0,9,9,0,Khác,0.04,0.0013333333333333333,30.0
1, 2 phòng, 2 phòng,2,2,0,9,9,1,Quận Tân Phú,1.9,0.02923,65.0
1, 2 phòng, 2 phòng,2,1,0,9,9,1,Huyện Nhà Bè,1.18,0.01873,63.0
0, 1 phòng, 1 phòng,2,0,1,9,9,0,Huyện Nhà Bè,3.0,0.0625,48.8
1, 2 phòng, 1 phòng,2,2,0,9,9,1,Thành phố Thủ Đức,1.61,0.02875,56.0
1, 1 phòng, 1 phòng,2,0,0,9,9,0,Quận Bình Tân,0.595,0.0175,34.0
1, 2 phòng, 1 phòng,2,0,0,9,1,0,Quận 8,1.8,0.027690000000000003,65.0
1, 2 phòng, 2 phòng,2,1,1,1,2,0,Quận Bình Tân,1.6,0.023530000000000002,68.0
0, 1 phòng, 1 phòng,2,1,3,9,9,0,Thành phố Thủ Đức,4.9,0.098,50.0
1, 1 phòng, 1 phòng,2,1,3,5,8,0,Quận Tân Bình,4.0,0.05714,70.0
1, 2 phòng, 2 phòng,2,2,1,5,1,0,Thành phố Thủ Đức,1.8,0.02903,62.0
1, 1 phòng, 1 phòng,2,0,0,9,9,0,Huyện Bình Chánh,1.55,0.031,50.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Huyện Nhà Bè,2.57,0.0362,71.0
1, 2 phòng, 2 phòng,2,0,0,9,3,0,Quận Tân Bình,3.9,0.05417,72.92
0, 2 phòng, 1 phòng,2,1,0,9,9,0,Quận 8,1.205,0.02274,53.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Huyện Bình Chánh,2.12,0.02944,72.0
1, 2 phòng, 2 phòng,2,1,0,9,9,0,Huyện Bình Chánh,3.01,0.04239,71.0
1, 3 phòng, 2 phòng,2,0,0,9,9,0,Quận Bình Thạnh,4.05,0.045509999999999995,89.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Quận Bình Thạnh,3.38,0.05121,66.0
1, 2 phòng, 2 phòng,2,2,3,4,3,1,Quận 12,2.19,0.03369,65.0
1, 2 phòng, 2 phòng,2,1,0,9,9,0,Thành phố Thủ Đức,3.0,0.041100000000000005,73.0
1, 2 phòng, 2 phòng,2,0,0,8,5,0,Quận Bình Tân,2.69,0.03405,79.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Quận Bình Thạnh,3.5,0.05303,66.0
1, 2 phòng, 1 phòng,2,1,2,5,8,0,Quận 8,2.65,0.03897,68.0
1, 2 phòng, 2 phòng,2,1,2,3,4,0,Huyện Nhà Bè,3.3,0.05156,64.0
1, 2 phòng, 2 phòng,2,0,2,9,9,0,Quận Phú Nhuận,6.2,0.06327,98.0
0, 2 phòng, 1 phòng,2,0,2,9,9,1,Thành phố Thủ Đức,1.68,0.033600000000000005,50.0
0, 1 phòng, 1 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,1.89,0.03857,49.0
1, 1 phòng, 1 phòng,2,0,0,5,8,0,Quận Tân Phú,2.35,0.044340000000000004,53.0
1, 1 phòng, 1 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,1.65,0.02797,59.0
0, 2 phòng, 1 phòng,2,0,0,9,9,0,Quận Bình Tân,2.1,0.0375,56.0
1, 2 phòng, 1 phòng,2,2,2,3,2,0,Quận 1,2.69,0.04804,56.0
1, 2 phòng, 2 phòng,2,1,1,6,7,0,Thành phố Thủ Đức,1.69,0.02817,60.45
1, 3 phòng, 2 phòng,2,1,3,3,6,0,Quận Tân Phú,3.8,0.04578,83.6
1, 2 phòng, 2 phòng,2,1,3,6,7,0,Quận Tân Phú,3.85,0.05274,73.6
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Huyện Nhà Bè,2.99,0.04211,71.42
0, 1 phòng, 1 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,2.368,0.05148,46.0
1, 2 phòng, 2 phòng,2,1,0,9,9,0,Quận 8,1.8,0.02278,79.0
1, 2 phòng, 2 phòng,2,1,1,9,9,0,Quận 8,3.25,0.04514,72.0
1, 2 phòng, 2 phòng,2,1,3,2,1,0,Quận Bình Thạnh,4.5,0.05625,80.0
1, 1 phòng, 1 phòng,2,0,0,9,9,0,Quận Bình Thạnh,1.7,0.04474,38.0
0, 2 phòng, 2 phòng,2,1,3,1,2,1,Huyện Nhà Bè,0.442,0.009609999999999999,46.0
1, 1 phòng, 1 phòng,2,1,0,9,9,0,Thành phố Thủ Đức,2.15,0.044789999999999996,48.5
1, 3 phòng, 2 phòng,2,0,0,9,9,0,Quận Bình Thạnh,4.3,0.05,86.0
0, 1 phòng, 1 phòng,2,1,0,9,9,0,Quận 8,1.655,0.03183,52.0
1, 2 phòng, 2 phòng,2,2,1,9,9,1,Quận 7,3.9,0.036789999999999996,106.0
0, 1 phòng, 1 phòng,2,2,2,9,9,0,Quận Bình Tân,0.8,0.02,40.0
1, 3 phòng, 3 phòng,3,2,2,9,9,0,Huyện Nhà Bè,3.0,0.0303,99.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Quận 1,6.3,0.08514000000000001,74.0
1, 2 phòng, 2 phòng,2,2,2,6,8,0,Thành phố Thủ Đức,2.398,0.02725,88.0
1, 2 phòng, 2 phòng,2,0,2,9,9,0,Quận Phú Nhuận,3.88,0.056229999999999995,69.0
1, 2 phòng, 1 phòng,2,0,0,5,8,0,Thành phố Thủ Đức,2.25,0.03814,59.0
1, 2 phòng, 2 phòng,2,2,2,9,9,0,Quận 4,1.65,0.02063,80.0
1, 2 phòng, 2 phòng,2,1,2,9,5,1,Thành phố Thủ Đức,1.3,0.02241,58.0
1, 2 phòng, 2 phòng,2,2,1,3,4,1,Quận Bình Tân,1.72,0.026879999999999998,64.0
1, 2 phòng, 1 phòng,2,2,0,9,9,0,Thành phố Thủ Đức,1.5,0.028300000000000002,53.0
1, 2 phòng, 2 phòng,2,2,1,5,1,0,Thành phố Thủ Đức,1.8,0.02903,62.0
1, 3 phòng, 2 phòng,2,1,0,9,9,0,Quận 8,1.95,0.02671,73.0
1, 2 phòng, 2 phòng,2,2,0,9,9,0,Huyện Nhà Bè,1.3,0.014289999999999999,91.0
1, 1 phòng, 1 phòng,2,0,0,9,9,0,Quận Bình Thạnh,2.05,0.039420000000000004,52.0
0, 2 phòng, 2 phòng,2,1,3,5,8,1,Huyện Nhà Bè,1.9,0.03065,62.0
0, 2 phòng, 1 phòng,2,0,0,9,9,0,Quận Bình Tân,2.08,0.03714,56.0
1, 3 phòng, 2 phòng,2,2,2,9,9,0,Quận Bình Thạnh,0.0068,6.8e-05,100.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Huyện Nhà Bè,3.42,0.048170000000000004,71.42
1, 2 phòng, 1 phòng,2,1,0,9,9,0,Quận 7,2.95,0.056729999999999996,52.0
1, 2 phòng, 2 phòng,2,0,0,4,9,1,Huyện Bình Chánh,2.5,0.03333,75.0
1, 2 phòng, 2 phòng,2,2,3,6,7,1,Thành phố Thủ Đức,2.39,0.034140000000000004,70.0
1, 2 phòng, 2 phòng,2,1,0,9,9,0,Quận 8,2.2,0.030989999999999997,71.0
1, 2 phòng, 2 phòng,2,2,0,9,9,0,Quận 7,2.0,0.03226,62.0
0, 2 phòng, 2 phòng,2,1,3,5,9,1,Quận 7,1.8,0.027690000000000003,65.0
1, 2 phòng, 2 phòng,2,2,2,9,9,0,Quận 12,1.78,0.0349,51.0
0, 2 phòng, 1 phòng,2,0,0,9,9,0,Huyện Bình Chánh,0.72,0.012199999999999999,59.0
0, 2 phòng, 2 phòng,2,1,3,5,8,1,Quận 6,0.63,0.009130000000000001,69.0
0, 2 phòng, 2 phòng,2,1,3,9,9,0,Quận Bình Thạnh,1.68,0.03,56.0
1, 2 phòng, 2 phòng,2,2,0,4,3,0,Quận 12,1.6,0.023190000000000002,69.0
1, 1 phòng, 1 phòng,2,1,3,5,8,0,Quận Tân Bình,4.0,0.05714,70.0
1, 2 phòng, 2 phòng,2,2,3,3,4,0,Quận 7,2.85,0.04071,70.12
1, 2 phòng, 2 phòng,2,1,1,9,9,0,Quận Bình Tân,1.6,0.0254,63.0
1, 2 phòng, 1 phòng,2,0,0,9,1,0,Quận 8,1.8,0.027690000000000003,65.0
0, 2 phòng, 2 phòng,2,0,0,5,5,0,Quận Bình Tân,2.58,0.0344,75.0
0, 1 phòng, 1 phòng,2,0,3,9,9,0,Thành phố Thủ Đức,0.07,0.0013,54.0
1, 1 phòng, 1 phòng,2,2,3,9,9,0,Quận 7,2.9,0.04833,60.0
1, 3 phòng, 2 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,3.82,0.03604,106.0
1, 2 phòng, 2 phòng,2,1,3,9,9,0,Thành phố Thủ Đức,5.9,0.06705,88.0
0, 2 phòng, 1 phòng,2,2,0,9,9,1,Huyện Nhà Bè,0.035,0.0007608690000000001,46.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Quận 7,1.57,0.02343,67.0
0, 2 phòng, 2 phòng,2,1,1,5,8,1,Quận 8,0.435,0.0064,68.0
0, 3 phòng, 2 phòng,2,0,1,5,8,1,Thành phố Thủ Đức,5.3,0.05248,101.0
0, 2 phòng, 2 phòng,2,0,1,9,9,0,Quận 7,1.68,0.035,48.0
1, 4 phòng, 3 phòng,1,0,0,6,6,0,Quận 12,0.02,0.000246913,81.0
1, 2 phòng, 2 phòng,2,1,2,3,4,0,Quận 7,3.18,0.046759999999999996,68.0
1, 3 phòng, 2 phòng,2,1,0,9,9,0,Thành phố Thủ Đức,2.75,0.03395,81.0
0, 2 phòng, 2 phòng,2,0,3,8,5,0,Quận 7,2.2,0.03385,65.0
0, 1 phòng, 2 phòng,3,0,0,9,9,0,Quận Phú Nhuận,0.245,0.0030600000000000002,80.0
1, 3 phòng, 2 phòng,2,1,1,2,9,0,Thành phố Thủ Đức,1.9,0.02879,66.0
0, 2 phòng, 1 phòng,1,1,0,5,4,0,Quận Tân Phú,1.0,0.025,40.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,2.65,0.03841,69.0
1, 1 phòng, 1 phòng,2,1,0,9,5,0,Thành phố Thủ Đức,1.156,0.03503,33.6
1, 1 phòng, 1 phòng,2,1,3,5,8,0,Quận Tân Bình,4.0,0.05714,70.0
1, 2 phòng, 1 phòng,2,2,0,9,9,0,Thành phố Thủ Đức,1.5,0.028300000000000002,53.0
1, 3 phòng, 2 phòng,2,1,0,9,9,0,Quận 8,1.95,0.02671,73.0
1, 2 phòng, 2 phòng,2,1,1,6,7,0,Thành phố Thủ Đức,1.69,0.02817,60.45
1, 1 phòng, 1 phòng,2,0,0,5,8,0,Thành phố Thủ Đức,1.62,0.03057,53.0
1, 2 phòng, 2 phòng,2,2,3,9,5,1,Quận 12,2.3,0.02949,78.0
1, 3 phòng, 2 phòng,2,0,0,9,3,0,Quận Phú Nhuận,5.0,0.054950000000000006,91.0
0, 1 phòng, 1 phòng,3,0,2,9,9,0,Quận 7,1.0,0.0303,33.0
0, 3 phòng, 2 phòng,2,0,0,9,9,1,Quận Bình Tân,3.45,0.0345,100.0
1, 1 phòng, 1 phòng,2,1,0,9,9,0,Thành phố Thủ Đức,1.85,0.03364,55.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Huyện Nhà Bè,3.42,0.04886,70.45
1, 2 phòng, 2 phòng,2,1,3,9,9,0,Thành phố Thủ Đức,4.1,0.04881,84.95
0, 1 phòng, 1 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,0.458,0.015269999999999999,30.0
1, 2 phòng, 2 phòng,2,1,0,9,9,0,Quận 8,1.69,0.02522,67.0
1, 3 phòng, 2 phòng,2,2,1,9,9,1,Thành phố Thủ Đức,0.6,0.00723,83.2
1, 3 phòng, 2 phòng,2,2,2,9,9,0,Thành phố Thủ Đức,3.1,0.03407,91.2
0, 1 phòng, 1 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,1.72,0.03185,54.0
1, 2 phòng, 1 phòng,2,1,1,1,1,1,Quận Tân Phú,2.85,0.04524,63.0
0, 2 phòng, 1 phòng,2,0,1,9,9,0,Thành phố Thủ Đức,0.399,0.00713,56.0
1, 2 phòng, 1 phòng,2,1,2,6,7,0,Quận 4,4.2,0.06462000000000001,65.0
1, 2 phòng, 2 phòng,2,1,3,9,9,0,Quận 6,3.56,0.04289,83.0
1, 3 phòng, 2 phòng,2,1,0,7,6,1,Quận Tân Phú,4.8,0.04615,104.0
0, 2 phòng, 2 phòng,2,1,3,5,8,1,Quận 8,0.39,0.006,65.0
1, 2 phòng, 2 phòng,2,2,0,9,5,0,Thành phố Thủ Đức,1.73,0.03392,51.0
1, 2 phòng, 2 phòng,2,2,0,9,9,0,Quận 7,2.0,0.03226,62.0
1, 1 phòng, 1 phòng,2,1,3,5,8,0,Quận Tân Bình,4.0,0.05714,70.0
1, 2 phòng, 2 phòng,2,1,3,6,7,0,Quận Tân Phú,3.85,0.05274,73.6
0, 2 phòng, 1 phòng,2,2,1,9,9,1,Quận 8,2.45,0.04537,54.0
1, 2 phòng, 2 phòng,2,2,1,3,4,1,Quận Bình Tân,1.72,0.026879999999999998,64.0
1, 2 phòng, 1 phòng,2,2,1,2,1,0,Quận Bình Thạnh,2.32,0.04462,52.0
1, 3 phòng, 4 phòng,0,2,0,3,3,0,Thành phố Thủ Đức,7.1,0.06573999999999999,108.0
1, 3 phòng, 2 phòng,2,0,0,7,6,0,Thành phố Thủ Đức,3.85,0.04813,80.0
0, 2 phòng, 2 phòng,2,1,0,9,9,1,Thành phố Thủ Đức,0.032,0.00042666599999999997,75.0
0, 1 phòng, 1 phòng,1,1,2,9,9,1,Quận Bình Tân,0.988,0.0241,41.0
1, 2 phòng, 1 phòng,2,2,1,5,9,1,Huyện Bình Chánh,1.99,0.03618,55.0
0, 2 phòng, 1 phòng,2,1,3,9,9,0,Khác,1.6,0.02857,56.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,1.6,0.02388,67.0
0, 2 phòng, 1 phòng,2,0,1,9,9,0,Quận 8,1.8,0.03462,52.0
1, 3 phòng, 2 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,2.765,0.030719999999999997,90.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,1.8,0.02903,62.0
0, 2 phòng, 1 phòng,2,0,2,9,9,0,Thành phố Thủ Đức,1.25,0.02232,56.4
1, 3 phòng, 2 phòng,2,1,2,9,9,0,Thành phố Thủ Đức,2.382050069,0.03452,69.7
1, 2 phòng, 2 phòng,2,1,0,9,9,0,Quận Gò Vấp,1.4,0.02154,65.0
0, 2 phòng, 2 phòng,2,1,0,9,9,0,Quận Tân Phú,4.1,0.048240000000000005,85.0
1, 1 phòng, 1 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,1.745,0.03713,47.0
1, 1 phòng, 1 phòng,2,1,0,9,9,0,Quận 8,1.49,0.04967,30.0
1, 3 phòng, 2 phòng,2,1,3,9,9,0,Quận 7,4.5,0.05233,86.0
1, 2 phòng, 2 phòng,2,1,1,9,9,0,Quận Bình Tân,1.6,0.0254,63.0
1, 2 phòng, 1 phòng,2,0,0,9,1,0,Quận 8,1.8,0.027690000000000003,65.0
1, 2 phòng, 2 phòng,2,2,0,9,9,0,Thành phố Thủ Đức,2.52,0.033600000000000005,75.0
1, 2 phòng, 2 phòng,2,1,3,6,7,0,Quận Tân Phú,3.85,0.05274,73.6
1, 2 phòng, 2 phòng,2,1,0,9,9,1,Quận 8,2.1,0.02917,72.25
1, 2 phòng, 2 phòng,1,2,0,9,9,0,Thành phố Thủ Đức,0.799,0.01065,75.0
1, 3 phòng, 2 phòng,2,2,2,9,9,0,Quận Bình Thạnh,1.25,0.013890000000000001,90.0
0, 2 phòng, 2 phòng,2,1,0,9,9,0,Quận 8,1.33,0.02145,62.0
1, 2 phòng, 2 phòng,3,2,0,8,8,0,Quận Gò Vấp,3.27,0.09343000000000001,35.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,2.35,0.03133,75.0
1, 2 phòng, 2 phòng,2,2,2,9,9,0,Quận 3,0.0034500000000000004,4.5394e-05,76.0
1, 2 phòng, 2 phòng,2,2,0,9,9,0,Thành phố Thủ Đức,2.0,0.025,80.0
1, 2 phòng, 2 phòng,2,2,2,9,9,0,Quận 10,1.35,0.0157,86.0
1, 3 phòng, 2 phòng,2,1,0,9,9,0,Quận Bình Thạnh,4.6,0.054759999999999996,84.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,1.7,0.02615,65.0
1,, 2 phòng,2,0,0,9,9,0,Khác,3.4,0.03777777777777778,90.0
1, 1 phòng, 1 phòng,1,2,0,9,9,0,Quận Tân Bình,0.83,0.023710000000000002,35.0
1, 3 phòng, 2 phòng,2,2,1,7,6,1,Thành phố Thủ Đức,2.56,0.02876,89.9
0, 2 phòng, 2 phòng,2,0,0,9,9,0,Quận 8,1.99,0.02519,79.0
1, 2 phòng, 1 phòng,2,0,1,6,5,1,Quận Bình Thạnh,2.95,0.04683,63.0
1, 1 phòng, 1 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,1.6,0.02759,58.0
1, 1 phòng, 1 phòng,2,2,0,9,9,0,Quận Bình Thạnh,2.95,0.056729999999999996,52.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,2.1,0.02958,71.0
0, 1 phòng, 1 phòng,2,1,3,9,9,0,Thành phố Thủ Đức,4.9,0.098,50.0
0, 2 phòng, 2 phòng,2,0,0,5,5,0,Quận Bình Tân,2.58,0.0344,75.0
1, 2 phòng, 2 phòng,2,1,1,6,7,0,Thành phố Thủ Đức,1.69,0.02817,60.45
1, 3 phòng, 2 phòng,2,0,1,3,4,1,Quận Phú Nhuận,4.9,0.05765,85.0
0, 2 phòng, 2 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,3.2,0.048479999999999995,66.0
1, 1 phòng, 1 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,1.62,0.03,54.0
1, 2 phòng, 2 phòng,2,1,0,9,9,0,Thành phố Thủ Đức,1.835,0.031100000000000003,59.0
1, 2 phòng, 2 phòng,2,2,1,8,5,0,Quận 7,1.63,0.033960000000000004,48.0
1, 2 phòng, 2 phòng,2,0,1,9,5,0,Huyện Bình Chánh,2.6,0.03333,78.0
1, 2 phòng, 2 phòng,2,1,2,6,6,0,Quận 8,1.883333,0.0269,70.0
1, 2 phòng, 2 phòng,2,1,0,9,9,0,Quận 8,2.01,0.027530000000000002,73.0
1, 2 phòng, 2 phòng,2,1,1,9,9,0,Quận Tân Phú,1.55,0.026269999999999998,59.0
0, 2 phòng, 2 phòng,2,0,1,4,3,0,Quận 7,2.23,0.03379,66.0
1, 2 phòng, 2 phòng,2,1,0,9,9,0,Quận Bình Thạnh,2.9,0.04028,72.0
1, 2 phòng, 2 phòng,2,1,1,3,4,1,Quận Tân Phú,3.1,0.04366,71.0
1, 3 phòng, 2 phòng,2,0,0,7,6,0,Thành phố Thủ Đức,4.35,0.04833,90.0
0, 2 phòng, 1 phòng,2,0,1,2,1,0,Quận 12,0.399,0.00713,56.0
1, 2 phòng, 2 phòng,2,2,1,1,9,1,Quận Gò Vấp,2.18,0.02691,81.0
1, 1 phòng, 1 phòng,1,0,0,9,9,0,Quận 8,2.49,0.047880000000000006,52.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,3.65,0.05615,65.0
1, 3 phòng, 2 phòng,2,1,0,9,9,0,Quận Bình Thạnh,3.35,0.04136,81.0
0, 2 phòng, 2 phòng,2,1,0,9,9,1,Thành phố Thủ Đức,1.655,0.03065,54.0
1, 2 phòng, 2 phòng,2,1,1,9,9,0,Quận Tân Phú,2.65,0.03313,80.0
0, 2 phòng, 1 phòng,2,2,1,9,9,1,Quận 8,2.45,0.04537,54.0
1, 2 phòng, 1 phòng,2,2,2,3,2,0,Quận 1,2.69,0.04804,56.0
1, 2 phòng, 1 phòng,2,0,0,9,1,0,Quận 8,1.8,0.027690000000000003,65.0
1, 3 phòng, 2 phòng,2,2,3,9,9,0,Quận 7,4.9,0.05052,97.6
1, 2 phòng, 2 phòng,2,1,0,9,9,1,Quận 8,2.1,0.02917,72.25
1, 3 phòng, 2 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,2.65,0.030809999999999997,86.0
0, 2 phòng, 2 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,1.55,0.02583,60.0
